time,sensor_id,r_x_km,r_y_km,r_z_km,v_x_km/s,v_y_km/s,v_z_km/s,ra,dec,ra_rate,dec_rate
0,gps_measurement,5042.8601,-23577.5681,11240.1278,1.2538,3.38,0.5809,,,,
600,gps_measurement,5762.765,-21451.2206,11553.0561,1.1797,3.6932,0.422,,,,
1200,gps_measurement,6457.8731,-19134.3866,11739.3718,1.0769,4.0363,0.2258,,,,
1800,gps_measurement,7046.3524,-16603.7178,11815.1337,0.9325,4.4118,-0.0229,,,,
2400,gps_measurement,7558.9632,-13834.8021,11695.7492,0.7313,4.8298,-0.3475,,,,
3000,gps_measurement,7916.6354,-10790.0387,11366.4681,0.4421,5.2864,-0.7781,,,,
3600,gps_measurement,8055.6266,-7482.0737,10737.0272,0.0095,5.7753,-1.3748,,,,
4200,gps_measurement,7876.7702,-3870.8268,9673.5768,-0.665,6.2446,-2.2355,,,,
4800,gps_measurement,7176.1618,-30.5315,7972.9187,-1.7605,6.5011,-3.5119,,,,
5130,ground_observer_1,,,,,,,328.5619,40.2212,0.0664,-0.0014
5160,ground_observer_1,,,,,,,330.5515,40.1803,0.0713,-0.0032
5190,ground_observer_1,,,,,,,332.6907,40.0849,0.0768,-0.0054
5220,ground_observer_1,,,,,,,334.9942,39.9234,0.0829,-0.0081
5250,ground_observer_1,,,,,,,337.4829,39.679,0.0898,-0.0115
5280,ground_observer_1,,,,,,,340.1771,39.3335,0.0974,-0.0157
5310,ground_observer_1,,,,,,,343.1003,38.8629,0.1059,-0.0209
5340,ground_observer_1,,,,,,,346.2773,38.2367,0.1152,-0.0273
5370,ground_observer_1,,,,,,,349.7341,37.4169,0.1254,-0.0354
5400,gps_measurement,5647.3588,3768.7086,5339.6478,-3.5142,5.9253,-5.319,,,,
5400,ground_observer_1,,,,,,,353.4972,36.3556,0.1365,-0.0454
5430,ground_observer_1,,,,,,,357.5921,34.9947,0.1484,-0.0578
5460,ground_observer_1,,,,,,,2.0375,33.2628,0.1603,-0.0729
5490,ground_observer_1,,,,,,,6.8459,31.0758,0.1724,-0.0911
5520,ground_observer_1,,,,,,,12.0166,28.3454,0.1838,-0.1121
5550,ground_observer_1,,,,,,,17.5332,24.9814,0.1941,-0.1355
5580,ground_observer_1,,,,,,,23.3558,20.9179,0.2022,-0.1593
5610,ground_observer_1,,,,,,,29.4222,16.1387,0.2076,-0.1809
5640,ground_observer_1,,,,,,,35.6491,10.7107,0.2096,-0.1969
5670,ground_observer_1,,,,,,,41.9372,4.8033,0.2083,-0.2042
5700,ground_observer_1,,,,,,,48.1847,-1.3203,0.2036,-0.2014
5730,ground_observer_1,,,,,,,54.2941,-7.3624,0.1963,-0.1897
5760,ground_observer_1,,,,,,,60.1845,-13.055,0.187,-0.1721
5790,ground_observer_1,,,,,,,65.7958,-18.2175,0.1778,-0.1544
6000,gps_measurement,2877.9668,6652.2276,1594.447,-5.5933,3.2609,-6.9856,,,,
6510,ground_observer_2,,,,,,,78.6232,29.1421,0.1776,-0.1615
6570,ground_observer_2,,,,,,,89.2769,19.4538,0.1844,-0.1959
6600,gps_measurement,-771.7273,7369.1073,-2630.466,-6.2392,-0.8358,-6.7199,,,,
6630,ground_observer_2,,,,,,,100.3411,7.7024,0.1838,-0.205
6690,ground_observer_2,,,,,,,111.3711,-4.5991,0.1756,-0.1822
6750,ground_observer_2,,,,,,,121.9102,-15.5306,0.1617,-0.142
6810,ground_observer_2,,,,,,,131.6137,-24.0523,0.1449,-0.1025
6870,ground_observer_2,,,,,,,140.3063,-30.1996,0.1276,-0.0713
6930,ground_observer_2,,,,,,,147.9632,-34.4796,0.1115,-0.049
6990,ground_observer_2,,,,,,,154.6548,-37.4226,0.0973,-0.0336
7050,ground_observer_2,,,,,,,160.495,-39.438,0.0852,-0.0229
7110,ground_observer_2,,,,,,,165.6061,-40.8121,0.0749,-0.0154
7170,ground_observer_2,,,,,,,170.1022,-41.7381,0.0647,-0.008
7200,gps_measurement,-4286.557,5987.7453,-6194.2615,-5.3395,-3.414,-5.1033,,,,
7800,gps_measurement,-7137.3327,3586.8423,-8789.0275,-4.2284,-4.3937,-3.6362,,,,
8400,gps_measurement,-9401.592,863.8423,-10644.1376,-3.3324,-4.6523,-2.5802,,,,
9000,gps_measurement,-11189.6229,-1936.1624,-11942.2791,-2.6485,-4.6237,-1.8274,,,,
9600,gps_measurement,-12612.3499,-4672.1743,-12877.0667,-2.1184,-4.4803,-1.2764,,,,
10200,gps_measurement,-13747.7567,-7301.965,-13516.7617,-1.6991,-4.2912,-0.8564,,,,
10800,gps_measurement,-14681.7526,-9817.757,-13918.8174,-1.3589,-4.0872,-0.5269,,,,
11400,gps_measurement,-15398.5828,-12201.2292,-14158.0825,-1.0767,-3.8799,-0.2634,,,,
12000,gps_measurement,-15964.0083,-14465.6094,-14244.2887,-0.8364,-3.6764,-0.0467,,,,
